,SurveyYear,Method,Handle,Group,Season,OT,N,Nbackyard,Nsideline,Ncommercial,PtBkExclusiveToState,TotalColStart,PColExclusiveToState,TotalColAtRisk,TotalColLost,TotalColAlive,TotalLoss_b.CI,AverageLoss_b.CI
1,2024-2025,MSO in,AK,Alaska,Annual,All,1,1,0,0,100,3,100,3,[R],[R],[R],[R]
2,2024-2025,MSO in,AL,Alabama,Annual,All,56,54,1,1,94.64,8596,6.82,16923,8741,8182,51.65 [37.89-52.16],45.69 [38.93-52.1]
3,2024-2025,MSO in,AR,Arkansas,Annual,All,8,8,0,0,100,49,100,81,[R],[R],[R],[R]
4,2024-2025,MSO in,AZ,Arizona,Annual,All,8,8,0,0,87.5,44,72.73,98,[R],[R],[R],[R]
5,2024-2025,MSO in,CA,California,Annual,All,56,37,4,15,66.07,81779,2.57,192541,111261,81280,57.79 [48.94-64.67],43.99 [36.88-51.47]
6,2024-2025,MSO in,CO,Colorado,Annual,All,31,29,2,0,93.55,289,56.4,410,176,234,42.93 [30.48-60.48],44.68 [32.04-58.38]
7,2024-2025,MSO in,CT,Connecticut,Annual,All,88,88,0,0,96.59,344,94.48,587,393,194,66.95 [59.7-73.57],67.19 [59.82-74.01]
8,2024-2025,MSO in,DC,District of Columbia,Annual,All,23,23,0,0,86.96,149,65.77,225,100,125,44.44 [31.86-59.06],35.05 [22.27-48.01]
9,2024-2025,MSO in,DE,Delaware,Annual,All,5,4,0,1,80,473,7.82,703,[R],[R],[R],[R]
10,2024-2025,MSO in,FL,Florida,Annual,All,39,36,1,2,92.31,9582,2.87,18786,10212,8574,54.36 [47.44-68.54],39.03 [29.86-48.73]
11,2024-2025,MSO in,GA,Georgia,Annual,All,66,60,3,3,93.94,18175,55.88,27783,12309,15474,44.3 [22.4-64.5],54 [47.4-61.31]
12,2024-2025,MSO in,IA,Iowa,Annual,All,22,20,1,1,95.45,1985,5.44,9986,8215,1771,82.27 [49.76-82.71],56.86 [44.28-68.87]
13,2024-2025,MSO in,ID,Idaho,Annual,All,12,9,0,3,75,23749,0.21,63013,36541,26472,57.99 [13.97-66.57],59.65 [42.59-76.45]
14,2024-2025,MSO in,IL,Illinois,Annual,All,16,16,0,0,100,102,100,186,98,88,52.69 [40.72-68.68],55.47 [39.69-71.54]
15,2024-2025,MSO in,IN,Indiana,Annual,All,57,54,3,0,100,729,100,1073,368,705,34.3 [22.85-50.9],46.41 [37.76-54.87]
16,2024-2025,MSO in,KS,Kansas,Annual,All,15,14,0,1,86.67,2428,3.79,2255,1074,1181,47.63 [32.14-48.63],46.19 [32.71-62.26]
17,2024-2025,MSO in,KY,Kentucky,Annual,All,149,143,6,0,98.66,1361,99.27,2281,956,1325,41.91 [35.94-48.63],40.26 [35.1-45.01]
18,2024-2025,MSO in,LA,Louisiana,Annual,All,10,7,2,1,100,1302,100,1822,1010,812,55.43 [25.24-58.66],37.18 [23.22-50.57]
19,2024-2025,MSO in,MA,Massachusetts,Annual,All,32,31,0,1,93.75,835,12.22,1194,659,535,55.19 [37.5-57.49],47.61 [37.92-57.56]
20,2024-2025,MSO in,MD,Maryland,Annual,All,53,49,3,1,90.57,1052,52.19,1535,662,873,43.13 [29.7-49.93],42.11 [34.19-49.19]
21,2024-2025,MSO in,ME,Maine,Annual,All,26,23,2,1,84.62,932,10.73,1343,704,639,52.42 [25-60.49],55.37 [43.84-66.24]
22,2024-2025,MSO in,MI,Michigan,Annual,All,190,180,9,1,96.32,9569,14.18,18670,9912,8758,53.09 [51.32-66.5],65.24 [60.76-69.7]
23,2024-2025,MSO in,MN,Minnesota,Annual,All,18,16,1,1,83.33,1518,5.2,2670,1720,950,64.42 [22.94-76.86],68.61 [52.74-83.22]
24,2024-2025,MSO in,MO,Missouri,Annual,All,22,21,0,1,90.91,2524,7.45,2372,1151,1221,48.52 [39.58-57.5],43.53 [31.2-54.23]
25,2024-2025,MSO in,MS,Mississippi,Annual,All,11,6,1,4,63.64,17101,0.88,32257,15310,16947,47.46 [37.84-67.01],45.8 [36.51-54.39]
26,2024-2025,MSO in,MT,Montana,Annual,All,5,4,0,1,80,6509,0.14,11519,[R],[R],[R],[R]
27,2024-2025,MSO in,NC,North Carolina,Annual,All,65,63,2,0,96.92,597,97.49,963,438,525,45.48 [31.38-59.62],42.76 [34.75-50.22]
28,2024-2025,MSO in,NCUSA,Non Continental USA,Annual,All,2,2,0,0,50,7,71.43,10,[R],[R],[R],[R]
29,2024-2025,MSO in,ND,North Dakota,Annual,All,24,13,1,10,54.17,66247,0.06,155047,89586,65461,57.78 [46.72-65.12],58.24 [48.91-68.44]
30,2024-2025,MSO in,NE,Nebraska,Annual,All,14,12,1,1,92.86,1975,4.96,9987,8228,1759,82.39 [49.38-82.77],54.54 [38.02-70.61]
31,2024-2025,MSO in,NH,New Hampshire,Annual,All,13,11,1,1,84.62,850,6.35,1204,609,595,50.58 [13.35-56.28],45.12 [26.86-62.86]
32,2024-2025,MSO in,NJ,New Jersey,Annual,All,17,17,0,0,94.12,116,78.45,180,105,75,58.33 [38.06-75.14],56.05 [43.36-68.7]
33,2024-2025,MSO in,NM,New Mexico,Annual,All,12,12,0,0,91.67,47,95.74,85,39,46,45.88 [25.86-60.18],41.25 [26.39-58.2]
34,2024-2025,MSO in,NV,Nevada,Annual,All,10,10,0,0,100,60,100,152,131,21,86.18 [82.28-91.15],83.79 [75.94-90.43]
35,2024-2025,MSO in,NY,New York,Annual,All,71,67,3,1,92.96,8910,6.98,17294,9167,8127,53.01 [46.66-74.49],59.63 [52.15-67.1]
36,2024-2025,MSO in,OH,Ohio,Annual,All,47,47,0,0,93.62,289,89.97,476,246,230,51.68 [38.99-64.04],48.2 [39.03-57.81]
37,2024-2025,MSO in,OK,Oklahoma,Annual,All,5,5,0,0,100,44,100,79,[R],[R],[R],[R]
38,2024-2025,MSO in,OR,Oregon,Annual,All,45,43,1,1,93.33,9381,1.97,32386,21352,11034,65.93 [31.8-66.44],39.05 [30.7-47.17]
39,2024-2025,MSO in,PA,Pennsylvania,Annual,All,77,77,0,0,97.4,544,96.69,894,463,431,51.79 [41.27-61.52],46.47 [39.2-54.25]
40,2024-2025,MSO in,RI,Rhode Island,Annual,All,6,5,0,1,83.33,745,2.95,1055,[R],[R],[R],[R]
41,2024-2025,MSO in,SC,South Carolina,Annual,All,6,6,0,0,100,69,100,84,[R],[R],[R],[R]
42,2024-2025,MSO in,SD,South Dakota,Annual,All,17,11,0,6,64.71,33928,0.19,78638,46680,31958,59.36 [41.55-73.36],55.49 [42.79-67.7]
43,2024-2025,MSO in,TN,Tennessee,Annual,All,18,17,1,0,100,202,100,411,162,249,39.42 [32.94-57.98],48.92 [37.33-59.86]
44,2024-2025,MSO in,TX,Texas,Annual,All,414,395,13,6,97.58,40261,11.15,91820,56266,35554,61.28 [45.72-71.36],42.07 [39.33-44.92]
45,2024-2025,MSO in,UT,Utah,Annual,All,26,25,1,0,96.15,123,90.24,356,252,104,70.79 [53.52-82.21],62.23 [49.89-72.73]
46,2024-2025,MSO in,VA,Virginia,Annual,All,52,50,1,1,80.77,1026,50,1475,623,852,42.24 [24.47-53.8],43.4 [35.13-51.21]
47,2024-2025,MSO in,VT,Vermont,Annual,All,48,43,4,1,93.75,1054,72.87,2228,1376,852,61.76 [39.67-77.38],63.57 [53.2-74.39]
48,2024-2025,MSO in,WA,Washington,Annual,All,25,23,0,2,88,12600,0.75,20486,8842,11644,43.16 [24.1-68.91],51.55 [37.7-65.75]
49,2024-2025,MSO in,WI,Wisconsin,Annual,All,40,38,2,0,100,644,100,1301,1178,123,90.55 [65.7-96.07],68.73 [56.47-79.35]
50,2024-2025,MSO in,WV,West Virginia,Annual,All,8,7,0,1,0,486,0,723,[R],[R],[R],[R]
51,2024-2025,MSO in,WY,Wyoming,Annual,All,2,0,1,1,0,1540,0,4136,[R],[R],[R],[R]
52,2024-2025,MSO in,MSO,MultiStates,Annual,All,57,32,7,18,0,86339,0,198592,114013,84579,57.41 [47.5-63.74],50.98 [44.34-57.76]
53,2024-2025,MSO in,AK,Alaska,Summer,All,1,1,0,0,100,3,100,3,[R],[R],[R],[R]
54,2024-2025,MSO in,AL,Alabama,Summer,All,69,67,1,1,94.2,8716,7.99,16886,2210,14676,13.09 [12.26-37.17],29.6 [24.89-34.93]
55,2024-2025,MSO in,AR,Arkansas,Summer,All,9,9,0,0,100,56,100,75,[R],[R],[R],[R]
56,2024-2025,MSO in,AZ,Arizona,Summer,All,8,8,0,0,87.5,44,72.73,91,[R],[R],[R],[R]
57,2024-2025,MSO in,CA,California,Summer,All,66,45,4,17,68.18,88568,2.4,189021,55248,133773,29.23 [18.36-39.38],28.55 [22.63-34.82]
58,2024-2025,MSO in,CO,Colorado,Summer,All,33,30,2,1,90.91,1260,13.81,1740,571,1169,32.82 [9.36-37.23],20.39 [10.95-30.2]
59,2024-2025,MSO in,CT,Connecticut,Summer,All,91,91,0,0,96.7,355,94.65,581,164,417,28.23 [23.14-33.48],26.72 [21.04-32.02]
60,2024-2025,MSO in,DC,District of Columbia,Summer,All,23,23,0,0,86.96,149,65.77,206,36,170,17.48 [8.74-29.32],15.52 [6.74-25.37]
61,2024-2025,MSO in,DE,Delaware,Summer,All,5,4,0,1,80,473,7.82,626,[R],[R],[R],[R]
62,2024-2025,MSO in,FL,Florida,Summer,All,49,46,1,2,93.88,9677,3.82,18754,3136,15618,16.72 [12.05-46.4],25.04 [18.65-32.14]
63,2024-2025,MSO in,GA,Georgia,Summer,All,73,67,3,3,94.52,18224,56,27170,3945,23225,14.52 [3.22-55.2],32.27 [26.81-37.89]
64,2024-2025,MSO in,IA,Iowa,Summer,All,22,20,1,1,95.45,1985,5.44,9454,4708,4746,49.8 [10.39-50.36],25.45 [16.08-34.64]
65,2024-2025,MSO in,ID,Idaho,Summer,All,12,9,0,3,75,23749,0.21,51602,21874,29728,42.39 [0.09-51.39],15.55 [5.8-25.71]
66,2024-2025,MSO in,IL,Illinois,Summer,All,16,16,0,0,100,102,100,180,34,146,18.89 [9.33-32.81],24.33 [12.01-36.72]
67,2024-2025,MSO in,IN,Indiana,Summer,All,58,55,3,0,100,732,100,1023,102,921,9.97 [4.51-19.6],14.7 [9.97-19.49]
68,2024-2025,MSO in,KS,Kansas,Summer,All,15,14,0,1,86.67,2428,3.79,2344,898,1446,38.31 [18.96-39.13],24.27 [13.89-35.55]
69,2024-2025,MSO in,KY,Kentucky,Summer,All,154,147,7,0,98.7,1426,99.3,2090,442,1648,21.15 [15.88-27.04],22.97 [19.27-26.77]
70,2024-2025,MSO in,LA,Louisiana,Summer,All,10,7,2,1,100,1302,100,1801,234,1567,12.99 [7.41-21.89],16.3 [7.5-26.64]
71,2024-2025,MSO in,MA,Massachusetts,Summer,All,33,32,0,1,93.94,837,12.43,1252,419,833,33.47 [17.61-34.9],26.39 [17.35-36.35]
72,2024-2025,MSO in,MD,Maryland,Summer,All,56,52,3,1,91.07,1064,52.73,1442,170,1272,11.79 [7.99-20.12],21.54 [16.33-26.69]
73,2024-2025,MSO in,ME,Maine,Summer,All,26,23,2,1,84.62,932,10.73,1402,414,988,29.53 [7.89-34.08],21.99 [14.67-29.88]
74,2024-2025,MSO in,MI,Michigan,Summer,All,194,184,9,1,96.39,9576,14.24,18506,2508,15998,13.55 [12.41-26.24],24.73 [20.98-28.41]
75,2024-2025,MSO in,MN,Minnesota,Summer,All,18,16,1,1,83.33,1518,5.2,2664,1143,1521,42.91 [7.01-47.62],29.01 [17.61-40.8]
76,2024-2025,MSO in,MO,Missouri,Summer,All,23,22,0,1,91.3,2528,7.59,2460,908,1552,36.91 [12.84-38.6],18.37 [10.48-26.74]
77,2024-2025,MSO in,MS,Mississippi,Summer,All,11,6,1,4,63.64,17101,0.88,32246,4854,27392,15.05 [12.1-44.62],18.08 [12.27-24.76]
78,2024-2025,MSO in,MT,Montana,Summer,All,6,4,0,2,66.67,12313,0.07,20681,[R],[R],[R],[R]
79,2024-2025,MSO in,NC,North Carolina,Summer,All,73,71,2,0,97.26,620,97.58,836,176,660,21.05 [15.26-28.44],26.79 [20.43-34.17]
80,2024-2025,MSO in,NCUSA,Non Continental USA,Summer,All,2,2,0,0,50,7,71.43,10,[R],[R],[R],[R]
81,2024-2025,MSO in,ND,North Dakota,Summer,All,24,13,1,10,54.17,66247,0.06,142427,42674,99753,29.96 [14.21-40.23],22.19 [14.64-29.57]
82,2024-2025,MSO in,NE,Nebraska,Summer,All,14,12,1,1,92.86,1975,4.96,9455,4724,4731,49.96 [10.81-50.53],23.22 [11.28-36.55]
83,2024-2025,MSO in,NH,New Hampshire,Summer,All,13,11,1,1,84.62,850,6.35,1267,384,883,30.31 [2.22-34.26],9.97 [1.53-20.42]
84,2024-2025,MSO in,NJ,New Jersey,Summer,All,19,19,0,0,94.74,132,81.06,193,57,136,29.53 [18.87-45.25],35.75 [24.14-47.8]
85,2024-2025,MSO in,NM,New Mexico,Summer,All,13,13,0,0,92.31,48,95.83,74,13,61,17.57 [7.27-27.27],13.89 [5.64-23]
86,2024-2025,MSO in,NV,Nevada,Summer,All,10,10,0,0,100,60,100,134,84,50,62.69 [32.39-74.03],43.43 [21.36-65.59]
87,2024-2025,MSO in,NY,New York,Summer,All,72,67,3,2,93.06,9620,13.85,18493,2659,15834,14.38 [12.01-38],19.8 [15-24.59]
88,2024-2025,MSO in,OH,Ohio,Summer,All,48,48,0,0,93.75,291,90.03,466,78,388,16.74 [11.43-22.7],19.97 [14.02-27.11]
89,2024-2025,MSO in,OK,Oklahoma,Summer,All,5,5,0,0,100,44,100,79,[R],[R],[R],[R]
90,2024-2025,MSO in,OR,Oregon,Summer,All,46,44,1,1,93.48,9386,2.02,21284,10763,10521,50.57 [16.72-51.29],19.73 [13.38-25.92]
91,2024-2025,MSO in,PA,Pennsylvania,Summer,All,78,78,0,0,97.44,552,96.74,885,233,652,26.33 [16.19-37.15],17.6 [12.73-22.81]
92,2024-2025,MSO in,RI,Rhode Island,Summer,All,6,5,0,1,83.33,745,2.95,1118,[R],[R],[R],[R]
93,2024-2025,MSO in,SC,South Carolina,Summer,All,9,9,0,0,100,131,100,156,[R],[R],[R],[R]
94,2024-2025,MSO in,SD,South Dakota,Summer,All,17,11,0,6,64.71,33928,0.19,77184,17156,60028,22.23 [13.62-37.2],22.04 [12.49-33]
95,2024-2025,MSO in,TN,Tennessee,Summer,All,20,19,1,0,100,212,100,417,45,372,10.79 [3.73-35.71],28.98 [19.86-38.41]
96,2024-2025,MSO in,TX,Texas,Summer,All,456,435,15,6,97.59,40875,12.46,91553,27273,64280,29.79 [17.77-41.73],23.77 [21.58-26.22]
97,2024-2025,MSO in,UT,Utah,Summer,All,27,26,1,0,96.3,124,90.32,342,90,252,26.32 [10.61-45.88],25.75 [15.97-35.41]
98,2024-2025,MSO in,VA,Virginia,Summer,All,56,54,1,1,82.14,1043,50.81,1407,209,1198,14.85 [10.4-29.38],22.67 [16.01-28.55]
99,2024-2025,MSO in,VT,Vermont,Summer,All,50,45,4,1,94,1061,73.04,2226,520,1706,23.36 [6.81-45.66],20.24 [12.93-27.59]
100,2024-2025,MSO in,WA,Washington,Summer,All,27,24,0,3,85.19,18406,0.52,28731,5636,23095,19.62 [11.3-33.19],23.19 [13.87-33.82]
101,2024-2025,MSO in,WI,Wisconsin,Summer,All,40,38,2,0,100,644,100,1287,729,558,56.64 [15.76-71.13],21.03 [14.45-28.26]
102,2024-2025,MSO in,WV,West Virginia,Summer,All,8,7,0,1,0,486,0,644,[R],[R],[R],[R]
103,2024-2025,MSO in,WY,Wyoming,Summer,All,2,0,1,1,0,1540,0,3560,[R],[R],[R],[R]
104,2024-2025,MSO in,MSO,MultiStates,Summer,All,60,33,7,20,0,93113,0,195317,57700,137617,29.54 [19.49-38.78],22.2 [17.1-27.58]
105,2024-2025,MSO in,AK,Alaska,Winter,All,1,1,0,0,100,1,100,1,[R],[R],[R],[R]
106,2024-2025,MSO in,AL,Alabama,Winter,All,65,61,3,1,93.85,15093,7.02,15290,6807,8483,44.52 [22.88-45.4],29.59 [22.34-36.96]
107,2024-2025,MSO in,AR,Arkansas,Winter,All,12,12,0,0,100,119,100,143,42,101,29.37 [19.06-44.58],33.63 [14.53-54.34]
108,2024-2025,MSO in,AZ,Arizona,Winter,All,12,11,1,0,83.33,183,91.26,270,197,73,72.96 [13.63-84.01],25.59 [11.79-40.44]
109,2024-2025,MSO in,CA,California,Winter,All,69,41,5,23,57.97,164368,1.81,183231,77127,106104,42.09 [33.1-49.77],31.47 [24.55-38.43]
