Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"291,102",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,70,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"3,486",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,20,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,318,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,32,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MARIN,41,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,240,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MARIN,41,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,29,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"1,089",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,35,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,NAPA,55,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"11,557",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,NAPA,55,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,96,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN BENITO,69,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,27,17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN BENITO,69,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,12,25.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN FRANCISCO,75,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN FRANCISCO,75,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN LUIS OBISPO,79,,,0,,HONEY,"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES",TOTAL,NOT SPECIFIED,"6,228",17.7
CENSUS,2022,END OF DEC,,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,SAN LUIS OBISPO,79,,,0,,HONEY,"HONEY, BEE COLONIES - OPERATIONS WITH INVENTORY",TOTAL,NOT SPECIFIED,64,25.7
