id,observed_on,species_common,species_scientific,latitude,longitude,place_guess,quality_grade,native,introduced,threatened
364321214,2026-05-22,Indiscriminate Cuckoo Bumble Bee,Bombus insularis,34.785755,-118.997475,"Los Padres National Forest, Frazier Park, CA, US",research,True,False,False
364240532,2026-05-22,Western Honey Bee,Apis mellifera,34.4593861111,-117.291358333,"Hesperia, CA, USA",research,False,True,False
364194244,2026-05-20,California Bumble Bee,Bombus californicus,34.1491843503,-118.961194755,"Ventura County, CA, USA",research,True,False,False
364179274,2026-05-21,Yellow-faced Bumble Bee,Bombus vosnesenskii,33.0435348013,-116.642474577,"San Diego County, CA, USA",research,True,False,False
364179210,2026-05-21,Urbane Digger Bee,Anthophora urbana,33.0429980591,-116.652908985,"San Diego County, CA, USA",research,True,False,False
364166636,2026-05-19,Western Honey Bee,Apis mellifera,33.5315575681,-117.71068401,"Laguna Niguel, CA, USA",research,False,True,False
364165678,2026-05-19,Yellow-faced Bumble Bee,Bombus vosnesenskii,33.531480574,-117.710737889,"Laguna Niguel, CA, USA",research,True,False,False
364163520,2026-05-22,Western Honey Bee,Apis mellifera,33.5914849756,-116.441490279,"Santa Rosa and San Jacinto Mountains National Monument, Mountain Center, CA, US",research,False,True,False
364163428,2026-05-21,Arizona Small carpenter,Ceratina arizonensis,33.0172572831,-116.708666775,"San Diego County, CA, USA",research,False,False,False
364163413,2026-05-21,Oval-headed Sweat Bee,Lasioglossum ovaliceps,33.0172572831,-116.708666775,"San Diego County, CA, USA",research,True,False,False
364153829,2026-05-21,Crotch's Bumble Bee,Bombus crotchii,34.2201,-118.7963,"Proposed Cosca Trail, Thousand Oaks, CA, US",research,True,False,True
364148053,2026-05-22,Western Honey Bee,Apis mellifera,33.9545166667,-117.306428333,"Harvard Way, Riverside, CA, US",research,False,True,False
364138575,2026-05-22,Western Honey Bee,Apis mellifera,33.00243055,-117.235466667,"San Dieguito County Park, Del Mar, CA, US",research,False,True,False
364135760,2026-05-22,Western Honey Bee,Apis mellifera,33.5533722997,-117.7192265,"Alicia-Aliso Creek, Laguna Niguel, CA 92677, USA",research,False,True,False
364125084,2026-05-22,Crotch's Bumble Bee,Bombus crotchii,34.3054726283,-118.908284739,"California, US",research,True,False,True
364112901,2026-05-22,Tripartite Sweat Bee,Halictus tripartitus,34.419915,-119.7251618,"1914 Robbins St, Santa Barbara, CA 93101, USA",research,True,False,False
364103126,2026-05-22,Western Honey Bee,Apis mellifera,33.6128281191,-117.804234417,"Turtle Ridge, Irvine, CA 92603, USA",research,False,True,False
364097419,2026-05-22,Western Honey Bee,Apis mellifera,33.62945822,-117.807780198,"Turtle Rock, Irvine, CA, USA",research,False,True,False
364090262,2026-05-22,Western Honey Bee,Apis mellifera,33.0202516667,-117.10328,"4S Ranch, San Diego, CA 92127, USA",research,False,True,False
364089959,2026-05-22,Western Honey Bee,Apis mellifera,33.821379069,-117.774104364,"Orange, CA 92869, USA",research,False,True,False
